stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,stop_desc,stop_url,platform_code
"U2855N2815","Mokrovraty,Vilová čtvrť",49.794373,14.234839,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Mokrovraty,Vilová čtvrť",
"U4720N2816","Mokrovraty,Pouště,Rozc.",49.787349,14.223819,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Mokrovraty,Pouště,Rozc.",
"U4718N2817","Stará Huť,Knínská",49.785151,14.20658,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Stará Huť,Knínská",
"U2856N2818","Stará Huť,Žel.zast.",49.78548,14.198397,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Stará Huť,Žel.zast.",
"U2546N2819","Neveklov,Jablonná",49.780043,14.450987,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Neveklov,Jablonná",
"U2545N2820","Neveklov,Jablonka",49.777972,14.464562,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Neveklov,Jablonka",
"U2544N2821","Rabyně,Blaženice",49.789347,14.470006,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Rabyně,Blaženice",
"U2543N2822","Rabyně,Rozc.Blaženice",49.791973,14.471944,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Rabyně,Rozc.Blaženice",
"U2487N2823","Rabyně,Loutí",49.799961,14.457471,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Rabyně,Loutí",
"U2488N2824","Rabyně,Stromeč",49.799988,14.442167,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Rabyně,Stromeč",
"U2547N2825","Rabyně,Měřín",49.789791,14.430019,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Rabyně,Měřín",
"U2533N2826","Korkyně,Křížov",49.788558,14.352556,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Korkyně,Křížov",
"U2530N2827","Nové Dvory,Krámy",49.799487,14.33805,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Nové Dvory,Krámy",
"U2531N2828","Nové Dvory",49.802603,14.357307,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Nové Dvory",
"U2528N2829","Nové Dvory,Nová Hospoda",49.799907,14.364653,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Nové Dvory,Nová Hospoda",
"U2527N2830","Nové Dvory,Porostliny",49.809346,14.372054,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Nové Dvory,Porostliny",
"U1574N2831","Kamenice,Skuheř",49.901805,14.569578,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Kamenice,Skuheř",
"U1573N2832","Kostelec u Křížků",49.906959,14.55813,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Kostelec u Křížků",
"U1583N2833","Kostelec u Křížků,Škola",49.909653,14.563615,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Kostelec u Křížků,Škola",
"U1578N2834","Sulice",49.923657,14.55733,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Sulice",
"U4120N2835","Sulice,Nechánice",49.915438,14.538886,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Sulice,Nechánice",
"U1579N2836","Křížkový Újezdec",49.931075,14.584711,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Křížkový Újezdec",
"U1580N2837","Křížkový Újezdec,Čenětice",49.943478,14.57899,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Křížkový Újezdec,Čenětice",
"U1581N2838","Radějovice,Olešky",49.949145,14.571491,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Radějovice,Olešky",
"U1582N2839","Radějovice",49.94676,14.564466,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Radějovice",
"U1590N2840","Týnec n.Sáz.,Zbořený Kostelec,Hrad",49.853345,14.589462,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Týnec n.Sáz.,Zbořený Kostelec,Hrad",
"U1589N2841","Týnec n.Sáz.,Čisté potoky",49.860395,14.584896,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Týnec n.Sáz.,Čisté potoky",
"U1588N2842","Týnec n.Sáz.,Čakovice",49.86991,14.593161,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Týnec n.Sáz.,Čakovice",
"U1597N2843","Řehenice,Dařbože",49.872175,14.610811,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Řehenice,Dařbože",
"U2868N2844","Slaný,žel.st.",50.227887,14.075947,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Slaný,žel.st.",
"U4776N2845","Slaný,Pražská",50.228291,14.095445,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Slaný,Pražská",
"U2867N2846","Slaný,Žel.zast.předměstí",50.22679,14.101948,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Slaný,Žel.zast.předměstí",
"U4775N2847","Slaný,odb.Drnov",50.225186,14.114458,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Slaný,odb.Drnov",
"U4774N2848","Jemníky,křiž.Knovíz",50.2156,14.123778,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Jemníky,křiž.Knovíz",
"U4773N2849","Knovíz",50.212739,14.136415,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Knovíz",
"U4772N2850","Jemníky",50.208724,14.120954,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Jemníky",
"U4771N2851","Pchery,rozc.Jemníky",50.196952,14.120231,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Pchery,rozc.Jemníky",
"U4770N2852","Pchery",50.192285,14.115102,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Pchery",
"U4768N2853","Pchery,Theodor",50.185301,14.134282,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Pchery,Theodor",
"U4767N2854","Brandýsek,škola",50.18866,14.15824,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Brandýsek,škola",
"U4417N2855","Brandýsek",50.18891,14.160827,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Brandýsek",
"U4418N2856","Brandýsek,u kina",50.188515,14.162655,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Brandýsek,u kina",
"U2884N2857","Brandýsek,žel.st.",50.185088,14.171367,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Brandýsek,žel.st.",
"U4397N2858","Buštěhrad,Bouchalka",50.161215,14.208097,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Buštěhrad,Bouchalka",
"U4400N2859","Středokluky,rozc.Černovičky",50.137761,14.24542,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Středokluky,rozc.Černovičky",
"U4779N2860","Slaný,ČSAD",50.22575,14.07448,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Slaný,ČSAD",
"U4778N2861","Slaný,Žižkova",50.228066,14.082271,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Slaný,Žižkova",
"U4812N2862","Slaný,modelářské středisko",50.22543,14.082738,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Slaný,modelářské středisko",
"U6398N2863","Mnichovo Hradiště,Hoškovice",50.532286,15.002073,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Mnichovo Hradiště,Hoškovice",
"U9440N2864","Březina",50.545281,15.032485,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Březina",
"U31057N2865","Svijany,na nájezdu",50.575049,15.068925,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Svijany,na nájezdu",
"U31058N2866","Paceřice",50.617912,15.110413,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Paceřice",
"U31060N2867","Paceřice,Rohanka",50.626855,15.109009,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Paceřice,Rohanka",
"U31059N2868","Žďárek,Hvězda",50.633939,15.111767,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Žďárek,Hvězda",
"U31062N2869","Hodkovice n.Mohelkou,aut.nádr.",50.667597,15.095605,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Hodkovice n.Mohelkou,aut.nádr.",
"U31063N2870","Liberec,Doubí,pošta",50.735012,15.057076,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Liberec,Doubí,pošta",
"U31065N2871","Liberec,Rochlice",50.74694,15.06228,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Liberec,Rochlice",
"U31067N2872","Liberec,Čechova",50.755092,15.055202,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Liberec,Čechova",
"U31069N2873","Liberec,Fügnerova",50.765209,15.057524,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Liberec,Fügnerova",
"U31070N2874","Liberec,aut.nádr.",50.763822,15.047507,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Liberec,aut.nádr.",
"U31061N2875","Paceřice,Husa,hl.sil.",50.621213,15.108512,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Paceřice,Husa,hl.sil.",
"U3069N2876","Němčice",50.346603,14.924813,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Němčice",
"U3070N2877","Němčice,hl.sil.",50.346279,14.916488,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Němčice,hl.sil.",
"U3057N2878","Luštěnice,Voděrady",50.336668,14.944616,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Luštěnice,Voděrady",
"U3049N2879","Luštěnice,Brodecká",50.322741,14.936334,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Luštěnice,Brodecká",
"U3058N2880","Luštěnice,Zelená",50.316338,14.91223,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Luštěnice,Zelená",
"U3056N2881","Luštěnice,Sluneční",50.313076,14.918388,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Luštěnice,Sluneční",
"U6350N2882","Mnichovo Hradiště,Hněvousice",50.537159,14.965003,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Mnichovo Hradiště,Hněvousice",
"U6351N2883","Mnichovo Hradiště,Sychrov,u Jizery",50.553261,14.971585,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Mnichovo Hradiště,Sychrov,u Jizery",
"U6377N2884","Mohelnice n.Jiz.",50.559674,14.977893,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Mohelnice n.Jiz.",
